zwanger;breedte;lengte;grootte;pixeldichtheid
0;948;1291;77,8;72
1;736;1104;133,8;96
0;1280;1769;200,9;72
0;982;1390;193;
0;735;849;49,5;72
0;1334;2048;323,3;72
1;640;799;80,1;96
0;736;1035;93,3;96
0;640;360;18,3;300
1;350;431;33,8;96
0;236;354;18,1;96
1;1440;2160;154,2;72
0;736;1105;94,8;96
0;600;900;112,6;300
1;682;1024;63,7;96
0;620;775;73,5;96
0;750;921;113,8;72
0;402;640;39,1;96
1;600;804;61,6;96
0;600;900;59,5;96
0;570;788;74,4;96
0;700;700;359,4;300
1;801;1112;207,2;72
0;736;919;88,2;96
0;400;600;117,5;72
0;1920;1200;151,4;96
0;682;1024;418,9;300
0;1920;1080;331,1;96
0;930;1280;184,4;96
1;736;1030;77,3;96
0;500;750;34;96
0;675;900;113,9;72
0;736;981;54;96
0;566;800;69;72
0;720;960;39,9;96
0;961;1200;129,1;72
0;644;900;63,1;596
0;768;1024;87,4;72
0;1280;1792;199,6;72
0;1066;1332;116,1;72
0;3840;5760;1001;72
0;1280;1920;193,2;72
0;888;1050;281,9;96
0;736;979;53,7;96
0;599;731;44;72
0;618;962;80,4;96
0;640;992;82,3;72
0;640;640;73,3;96
0;300;250;31,5;72
